Start,DoS,Path,Msg
/wiki/Gisela_Diewald-Kerkmann,-1.0,"['https://de.wikipedia.org/wiki/Gisela_Diewald-Kerkmann', 'https://de.wikipedia.org/wiki/Deutschland', 'https://de.wikipedia.org/wiki/Bundesstaat_(f%C3%B6deraler_Staat)', 'https://de.wikipedia.org/wiki/Liste_der_Staaten_der_Erde', 'https://de.wikipedia.org/wiki/Staatsgebiet', 'https://de.wikipedia.org/wiki/Staatsvolk', 'https://de.wikipedia.org/wiki/Staat', 'https://de.wikipedia.org/wiki/Sozialwissenschaften', 'https://de.wikipedia.org/wiki/Gesellschaft_(Soziologie)', 'https://de.wikipedia.org/wiki/Soziologie', 'https://de.wikipedia.org/wiki/Wissenschaft', 'https://de.wikipedia.org/wiki/Wissen', 'https://de.wikipedia.org/wiki/Tatsache', 'https://de.wikipedia.org/wiki/Wirklichkeit', 'https://de.wikipedia.org/wiki/Objektivit%C3%A4t', 'https://de.wikipedia.org/wiki/Sachverhalt', 'https://de.wikipedia.org/wiki/Interdisziplin%C3%A4re_Wissenschaft', 'https://de.wikipedia.org/wiki/Einzelwissenschaft', 'https://de.wikipedia.org/wiki/Fachgebiet', 'https://de.wikipedia.org/wiki/Unterrichtsfach', 'https://de.wikipedia.org/wiki/Schule', 'https://de.wikipedia.org/wiki/Institution', 'https://de.wikipedia.org/wiki/Wirtschaftswissenschaft']",NOK - looped at /wiki/Wissenschaft (link idx: 10; last idx: 22)
/wiki/Kuhweide_(Einheit),-1.0,"['https://de.wikipedia.org/wiki/Kuhweide_(Einheit)', 'https://de.wikipedia.org/wiki/Herzogtum_Bremen', 'https://de.wikipedia.org/wiki/Territorialstaat', 'https://de.wikipedia.org/wiki/Hochmittelalter', 'https://de.wikipedia.org/wiki/Medi%C3%A4vistik', 'https://de.wikipedia.org/wiki/Wissenschaft']",NOK - short path at /wiki/Wissenschaft (last idx: 5).
/wiki/Robert_Kirchhoff,-1.0,"['https://de.wikipedia.org/wiki/Robert_Kirchhoff', 'https://de.wikipedia.org/wiki/Ausdruckspsychologie', 'https://de.wikipedia.org/wiki/Psychologie', 'https://de.wikipedia.org/wiki/Empirie', 'https://de.wikipedia.org/wiki/Liste_der_IPA-Zeichen', 'https://de.wikipedia.org/wiki/Lautschrift', 'https://de.wikipedia.org/wiki/Schrift', 'https://de.wikipedia.org/wiki/Wort', 'https://de.wikipedia.org/wiki/Sprachliche_Einheit', 'https://de.wikipedia.org/wiki/Terminus', 'https://de.wikipedia.org/wiki/Fachsprache']",NOK - looped at /wiki/Terminus (link idx: 9; last idx: 10)
/wiki/Rheinpfeil_(Schiff),-1.0,"['https://de.wikipedia.org/wiki/Rheinpfeil_(Schiff)', 'https://de.wikipedia.org/wiki/Tragfl%C3%BCgelboot', 'https://de.wikipedia.org/wiki/High_Speed_Craft', 'https://de.wikipedia.org/wiki/Wasserfahrzeug', 'https://de.wikipedia.org/wiki/Oberbegriff', 'https://de.wikipedia.org/wiki/Sprachwissenschaft', 'https://de.wikipedia.org/wiki/Sprache', 'https://de.wikipedia.org/wiki/System', 'https://de.wikipedia.org/wiki/Ganzheit', 'https://de.wikipedia.org/wiki/Abstrakta']",NOK - looped at /wiki/Sprachwissenschaft (link idx: 5; last idx: 9)
/wiki/Bezirk_Br%C3%BCssel,-1.0,"['https://de.wikipedia.org/wiki/Bezirk_Br%C3%BCssel', 'https://de.wikipedia.org/wiki/Belgien', 'https://de.wikipedia.org/wiki/Bundesstaat_(f%C3%B6deraler_Staat)']",NOK - short path at /wiki/Bundesstaat_(f%C3%B6deraler_Staat) (last idx: 2).
/wiki/Ralf_Beil,-1.0,"['https://de.wikipedia.org/wiki/Ralf_Beil', 'https://de.wikipedia.org/wiki/Kunsthistoriker', 'https://de.wikipedia.org/wiki/Geisteswissenschaft', 'https://de.wikipedia.org/wiki/Deutsche_Sprache', 'https://de.wikipedia.org/wiki/Liste_der_IPA-Zeichen']",NOK - short path at /wiki/Liste_der_IPA-Zeichen (last idx: 4).
/wiki/Moby,-1.0,"['https://de.wikipedia.org/wiki/Moby', 'https://de.wikipedia.org/wiki/Vereinigte_Staaten', 'https://de.wikipedia.org/wiki/Washington,_D.C.', 'https://de.wikipedia.org/wiki/Liste_der_IPA-Zeichen']",NOK - short path at /wiki/Liste_der_IPA-Zeichen (last idx: 3).
/wiki/Kuni_Tremel-Eggert,-1.0,"['https://de.wikipedia.org/wiki/Kuni_Tremel-Eggert', 'https://de.wikipedia.org/wiki/Deutschland']",NOK - short path at /wiki/Deutschland (last idx: 1).
/wiki/Fastbox-Klasse,-1.0,"['https://de.wikipedia.org/wiki/Fastbox-Klasse', 'https://de.wikipedia.org/wiki/Containerschiff', 'https://de.wikipedia.org/wiki/Schiffstyp', 'https://de.wikipedia.org/wiki/Bauart', 'https://de.wikipedia.org/wiki/Musterbauordnung', 'https://de.wikipedia.org/wiki/Land_(Deutschland)', 'https://de.wikipedia.org/wiki/F%C3%B6deralismus_in_Deutschland', 'https://de.wikipedia.org/wiki/Staatsorganisation', 'https://de.wikipedia.org/wiki/Deutschland']",NOK - short path at /wiki/Deutschland (last idx: 8).
/wiki/Sportzentrum_Kallipatira,-1.0,"['https://de.wikipedia.org/wiki/Sportzentrum_Kallipatira', 'https://de.wikipedia.org/wiki/Griechenland', 'https://de.wikipedia.org/wiki/Athen', 'https://de.wikipedia.org/wiki/Neugriechische_Sprache', 'https://de.wikipedia.org/wiki/Griechen', 'https://de.wikipedia.org/wiki/Indogermanen', 'https://de.wikipedia.org/wiki/Sprachwissenschaft']",NOK - short path at /wiki/Sprachwissenschaft (last idx: 6).
/wiki/Saja_Taal,-1.0,"['https://de.wikipedia.org/wiki/Saja_Taal', 'https://de.wikipedia.org/wiki/Gambia', 'https://de.wikipedia.org/wiki/Banjul', 'https://de.wikipedia.org/wiki/Liste_der_IPA-Zeichen']",NOK - short path at /wiki/Liste_der_IPA-Zeichen (last idx: 3).
/wiki/Ludwigsfeld_(Neu-Ulm),-1.0,"['https://de.wikipedia.org/wiki/Ludwigsfeld_(Neu-Ulm)', 'https://de.wikipedia.org/wiki/Kreisstadt', 'https://de.wikipedia.org/wiki/Deutschland']",NOK - short path at /wiki/Deutschland (last idx: 2).
