Start,DoS,Path,Msg
/wiki/Doni_River,26.0,"['https://en.wikipedia.org/wiki/Doni_River', 'https://en.wikipedia.org/wiki/Sangli', 'https://en.wikipedia.org/wiki/Sangli_District', 'https://en.wikipedia.org/wiki/Districts_of_Maharashtra', 'https://en.wikipedia.org/wiki/Maharashtra', 'https://en.wikipedia.org/wiki/States_and_union_territories_of_India', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/South_Asia', 'https://en.wikipedia.org/wiki/Subregion#Asia', 'https://en.wikipedia.org/wiki/Region', 'https://en.wikipedia.org/wiki/Geography', 'https://en.wikipedia.org/wiki/Earth', 'https://en.wikipedia.org/wiki/Planet', 'https://en.wikipedia.org/wiki/Hydrostatic_equilibrium', 'https://en.wikipedia.org/wiki/Fluid_mechanics', 'https://en.wikipedia.org/wiki/Physics', 'https://en.wikipedia.org/wiki/Natural_science', 'https://en.wikipedia.org/wiki/Branches_of_science', 'https://en.wikipedia.org/wiki/Sciences', 'https://en.wikipedia.org/wiki/Scientific_method', 'https://en.wikipedia.org/wiki/Empirical_evidence', 'https://en.wikipedia.org/wiki/Proposition', 'https://en.wikipedia.org/wiki/Philosophy_of_language', 'https://en.wikipedia.org/wiki/Analytic_philosophy', 'https://en.wikipedia.org/wiki/Contemporary_philosophy', 'https://en.wikipedia.org/wiki/Western_philosophy', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/MU%C5%BBA,21.0,"['https://en.wikipedia.org/wiki/MU%C5%BBA', 'https://en.wikipedia.org/wiki/Art_museum', 'https://en.wikipedia.org/wiki/Art', 'https://en.wikipedia.org/wiki/Human_behavior', 'https://en.wikipedia.org/wiki/Human', 'https://en.wikipedia.org/wiki/Species', 'https://en.wikipedia.org/wiki/Organism', 'https://en.wikipedia.org/wiki/Life', 'https://en.wikipedia.org/wiki/Matter', 'https://en.wikipedia.org/wiki/Classical_physics', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 10).
/wiki/Arabian_carpet,21.0,"['https://en.wikipedia.org/wiki/Arabian_carpet', 'https://en.wikipedia.org/wiki/Oriental_carpet', 'https://en.wikipedia.org/wiki/Orient', 'https://en.wikipedia.org/wiki/Europe', 'https://en.wikipedia.org/wiki/Continent', 'https://en.wikipedia.org/wiki/Geography']",OK - short path at /wiki/Geography (last idx: 5).
/wiki/Fly_line,21.0,"['https://en.wikipedia.org/wiki/Fly_line', 'https://en.wikipedia.org/wiki/Fishing', 'https://en.wikipedia.org/wiki/Fish', 'https://en.wikipedia.org/wiki/Aquatic_animal', 'https://en.wikipedia.org/wiki/Animal', 'https://en.wikipedia.org/wiki/Multicellular', 'https://en.wikipedia.org/wiki/Organism']",OK - short path at /wiki/Organism (last idx: 6).
/wiki/Western_Gunfighters,-1.0,"['https://en.wikipedia.org/wiki/Western_Gunfighters', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/Contiguous_United_States', 'https://en.wikipedia.org/wiki/U.S._state']",NOK - looped at /wiki/United_States (link idx: 1; last idx: 3)
/wiki/Bilikis_Abiodun_Otunla,22.0,"['https://en.wikipedia.org/wiki/Bilikis_Abiodun_Otunla', 'https://en.wikipedia.org/wiki/Nigerian', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/West_Africa', 'https://en.wikipedia.org/wiki/Africa', 'https://en.wikipedia.org/wiki/Continent']",OK - short path at /wiki/Continent (last idx: 5).
/wiki/1996%E2%80%9397_Ranji_One_Day_Trophy,25.0,"['https://en.wikipedia.org/wiki/1996%E2%80%9397_Ranji_One_Day_Trophy', 'https://en.wikipedia.org/wiki/List_A_cricket', 'https://en.wikipedia.org/wiki/Limited_overs_cricket', 'https://en.wikipedia.org/wiki/Cricket', 'https://en.wikipedia.org/wiki/Bat-and-ball_games', 'https://en.wikipedia.org/wiki/Playing_field', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Physical_activity', 'https://en.wikipedia.org/wiki/Skeletal_muscle', 'https://en.wikipedia.org/wiki/Organ_(biology)', 'https://en.wikipedia.org/wiki/Organism']",OK - short path at /wiki/Organism (last idx: 10).
/wiki/Gennari,15.0,"['https://en.wikipedia.org/wiki/Gennari', 'https://en.wikipedia.org/wiki/Curlo', 'https://en.wikipedia.org/wiki/Ventimiglia', 'https://en.wikipedia.org/wiki/Province_of_Imperia', 'https://en.wikipedia.org/wiki/Provinces_of_Italy', 'https://en.wikipedia.org/wiki/Administrative_division', 'https://en.wikipedia.org/wiki/Sovereign_state', 'https://en.wikipedia.org/wiki/State_(polity)', 'https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Decision-making', 'https://en.wikipedia.org/wiki/Psychology', 'https://en.wikipedia.org/wiki/Mind', 'https://en.wikipedia.org/wiki/Thought', 'https://en.wikipedia.org/wiki/Consciousness', 'https://en.wikipedia.org/wiki/Awareness', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/Disa_stairsii,13.0,"['https://en.wikipedia.org/wiki/Disa_stairsii', 'https://en.wikipedia.org/wiki/Orchidaceae', 'https://en.wikipedia.org/wiki/Family_(biology)', 'https://en.wikipedia.org/wiki/Taxonomic_rank', 'https://en.wikipedia.org/wiki/Biology', 'https://en.wikipedia.org/wiki/Science', 'https://en.wikipedia.org/wiki/Scientific_method']",OK - short path at /wiki/Scientific_method (last idx: 6).
/wiki/1999_Tehran_City_Council_election,17.0,"['https://en.wikipedia.org/wiki/1999_Tehran_City_Council_election', 'https://en.wikipedia.org/wiki/Islamic_City_Council_of_Tehran', 'https://en.wikipedia.org/wiki/City_council', 'https://en.wikipedia.org/wiki/Legislature', 'https://en.wikipedia.org/wiki/Deliberative_assembly', 'https://en.wikipedia.org/wiki/Collective', 'https://en.wikipedia.org/wiki/Cooperative', 'https://en.wikipedia.org/wiki/Autonomy', 'https://en.wikipedia.org/wiki/Developmental_psychology', 'https://en.wikipedia.org/wiki/Science']",OK - short path at /wiki/Science (last idx: 9).
/wiki/Deluxe_Crazy,21.0,"['https://en.wikipedia.org/wiki/Deluxe_Crazy', 'https://en.wikipedia.org/wiki/Greece', 'https://en.wikipedia.org/wiki/Southeast_Europe', 'https://en.wikipedia.org/wiki/Sub-region', 'https://en.wikipedia.org/wiki/Region']",OK - short path at /wiki/Region (last idx: 4).
/wiki/Mesocyclone,17.0,"['https://en.wikipedia.org/wiki/Mesocyclone', 'https://en.wikipedia.org/wiki/Mesoscale_meteorology', 'https://en.wikipedia.org/wiki/Weather', 'https://en.wikipedia.org/wiki/Atmosphere', 'https://en.wikipedia.org/wiki/Gas', 'https://en.wikipedia.org/wiki/State_of_matter', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 6).
/wiki/Consumer_and_Family_Advisory_Committee_(North_Carolina),-1.0,"['https://en.wikipedia.org/wiki/Consumer_and_Family_Advisory_Committee_(North_Carolina)', 'https://en.wikipedia.org/wiki/North_Carolina', 'https://en.wikipedia.org/wiki/U.S._state']",NOK - short path at /wiki/U.S._state (last idx: 2).
/wiki/Kars%C3%B3wka,19.0,"['https://en.wikipedia.org/wiki/Kars%C3%B3wka', 'https://en.wikipedia.org/wiki/Village', 'https://en.wikipedia.org/wiki/Human_settlement', 'https://en.wikipedia.org/wiki/Geography']",OK - short path at /wiki/Geography (last idx: 3).
/wiki/Hard_soap,12.0,"['https://en.wikipedia.org/wiki/Hard_soap', 'https://en.wikipedia.org/wiki/Soap', 'https://en.wikipedia.org/wiki/Salt_(chemistry)', 'https://en.wikipedia.org/wiki/Chemistry', 'https://en.wikipedia.org/wiki/Science']",OK - short path at /wiki/Science (last idx: 4).
/wiki/Quintela,13.0,"['https://en.wikipedia.org/wiki/Quintela', 'https://en.wikipedia.org/wiki/Freguesia_(Portugal)', 'https://en.wikipedia.org/wiki/Parish_(administrative_division)', 'https://en.wikipedia.org/wiki/Administrative_division']",OK - short path at /wiki/Administrative_division (last idx: 3).
/wiki/Ricketts_Glen_State_Park,12.0,"['https://en.wikipedia.org/wiki/Ricketts_Glen_State_Park', 'https://en.wikipedia.org/wiki/List_of_Pennsylvania_state_parks', 'https://en.wikipedia.org/wiki/State_park', 'https://en.wikipedia.org/wiki/Park', 'https://en.wikipedia.org/wiki/Recreation', 'https://en.wikipedia.org/wiki/Leisure', 'https://en.wikipedia.org/wiki/Time', 'https://en.wikipedia.org/wiki/Sequence', 'https://en.wikipedia.org/wiki/Mathematics', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Declarative_knowledge', 'https://en.wikipedia.org/wiki/Awareness']",OK - short path at /wiki/Awareness (last idx: 11).
/wiki/Binion%27s_Gambling_Hall_and_Hotel,16.0,"['https://en.wikipedia.org/wiki/Binion%27s_Gambling_Hall_and_Hotel', 'https://en.wikipedia.org/wiki/Fremont_Street', 'https://en.wikipedia.org/wiki/Downtown_Las_Vegas', 'https://en.wikipedia.org/wiki/Central_business_district', 'https://en.wikipedia.org/wiki/Commerce', 'https://en.wikipedia.org/wiki/Complex_system', 'https://en.wikipedia.org/wiki/System', 'https://en.wikipedia.org/wiki/Environment_(systems)', 'https://en.wikipedia.org/wiki/Science']",OK - short path at /wiki/Science (last idx: 8).
/wiki/Kol_toothcarp,21.0,"['https://en.wikipedia.org/wiki/Kol_toothcarp', 'https://en.wikipedia.org/wiki/Cyprinodontidae', 'https://en.wikipedia.org/wiki/Killifish', 'https://en.wikipedia.org/wiki/Oviparous', 'https://en.wikipedia.org/wiki/Animal']",OK - short path at /wiki/Animal (last idx: 4).
"/wiki/Hatfield,_Pennsylvania",-1.0,"['https://en.wikipedia.org/wiki/Hatfield,_Pennsylvania', 'https://en.wikipedia.org/wiki/Borough_(Pennsylvania)', 'https://en.wikipedia.org/wiki/Commonwealth_(U.S._state)', 'https://en.wikipedia.org/wiki/U.S._state']",NOK - short path at /wiki/U.S._state (last idx: 3).
/wiki/Shakhovka,22.0,"['https://en.wikipedia.org/wiki/Shakhovka', 'https://en.wikipedia.org/wiki/Types_of_inhabited_localities_in_Russia', 'https://en.wikipedia.org/wiki/Post-Soviet_states', 'https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union', 'https://en.wikipedia.org/wiki/Soviet_Union', 'https://en.wikipedia.org/wiki/List_of_former_transcontinental_countries#Since_1700', 'https://en.wikipedia.org/wiki/Countries', 'https://en.wikipedia.org/wiki/Earth']",OK - short path at /wiki/Earth (last idx: 7).
/wiki/Makiki,15.0,"['https://en.wikipedia.org/wiki/Makiki', 'https://en.wikipedia.org/wiki/Honolulu', 'https://en.wikipedia.org/wiki/List_of_capitals_in_the_United_States', 'https://en.wikipedia.org/wiki/Capital_city', 'https://en.wikipedia.org/wiki/Municipality', 'https://en.wikipedia.org/wiki/Administrative_division']",OK - short path at /wiki/Administrative_division (last idx: 5).
/wiki/Thomas_Lindhqvist,13.0,"['https://en.wikipedia.org/wiki/Thomas_Lindhqvist', 'https://en.wikipedia.org/wiki/Swedes', 'https://en.wikipedia.org/wiki/Ethnic_group', 'https://en.wikipedia.org/wiki/People', 'https://en.wikipedia.org/wiki/Person', 'https://en.wikipedia.org/wiki/Reason', 'https://en.wikipedia.org/wiki/Logic', 'https://en.wikipedia.org/wiki/Logical_reasoning', 'https://en.wikipedia.org/wiki/Logical_consequence', 'https://en.wikipedia.org/wiki/Concept', 'https://en.wikipedia.org/wiki/Abstraction', 'https://en.wikipedia.org/wiki/Rule_of_inference', 'https://en.wikipedia.org/wiki/Philosophy_of_logic', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/Rub%C3%A9n_Verges,16.0,"['https://en.wikipedia.org/wiki/Rub%C3%A9n_Verges', 'https://en.wikipedia.org/wiki/Snowboarder', 'https://en.wikipedia.org/wiki/Snowboard', 'https://en.wikipedia.org/wiki/Snow', 'https://en.wikipedia.org/wiki/Ice', 'https://en.wikipedia.org/wiki/Water', 'https://en.wikipedia.org/wiki/Inorganic_compound', 'https://en.wikipedia.org/wiki/Chemistry']",OK - short path at /wiki/Chemistry (last idx: 7).
/wiki/B%26W_mPower,16.0,"['https://en.wikipedia.org/wiki/B%26W_mPower', 'https://en.wikipedia.org/wiki/Small_modular_reactor', 'https://en.wikipedia.org/wiki/Nuclear_fission_reactor', 'https://en.wikipedia.org/wiki/Nuclear_chain_reaction', 'https://en.wikipedia.org/wiki/Nuclear_physics', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 5).
/wiki/Joseph_Finder,8.0,"['https://en.wikipedia.org/wiki/Joseph_Finder', 'https://en.wikipedia.org/wiki/Thriller_(genre)', 'https://en.wikipedia.org/wiki/Genre', 'https://en.wikipedia.org/wiki/Communication', 'https://en.wikipedia.org/wiki/Information', 'https://en.wikipedia.org/wiki/Abstraction']",OK - short path at /wiki/Abstraction (last idx: 5).
/wiki/Nigorie,10.0,"['https://en.wikipedia.org/wiki/Nigorie', 'https://en.wikipedia.org/wiki/Ichiy%C5%8D_Higuchi', 'https://en.wikipedia.org/wiki/Pen_name', 'https://en.wikipedia.org/wiki/Pseudonym', 'https://en.wikipedia.org/wiki/Anonymity', 'https://en.wikipedia.org/wiki/Privacy', 'https://en.wikipedia.org/wiki/Security', 'https://en.wikipedia.org/wiki/Potential', 'https://en.wikipedia.org/wiki/Ability', 'https://en.wikipedia.org/wiki/Action_(philosophy)', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/Umuagbai,14.0,"['https://en.wikipedia.org/wiki/Umuagbai', 'https://en.wikipedia.org/wiki/Ndoki_people', 'https://en.wikipedia.org/wiki/Igbo_people', 'https://en.wikipedia.org/wiki/Ethnic_group']",OK - short path at /wiki/Ethnic_group (last idx: 3).
/wiki/V%C3%B5_Duy_Nam,22.0,"['https://en.wikipedia.org/wiki/V%C3%B5_Duy_Nam', 'https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Team_sport', 'https://en.wikipedia.org/wiki/Sport']",OK - short path at /wiki/Sport (last idx: 3).
/wiki/List_of_German_names_for_places_in_the_Czech_Republic,13.0,"['https://en.wikipedia.org/wiki/List_of_German_names_for_places_in_the_Czech_Republic', 'https://en.wikipedia.org/wiki/Exonym', 'https://en.wikipedia.org/wiki/Name', 'https://en.wikipedia.org/wiki/Referent', 'https://en.wikipedia.org/wiki/Person']",OK - short path at /wiki/Person (last idx: 4).
/wiki/IMEP_(chemotherapy),15.0,"['https://en.wikipedia.org/wiki/IMEP_(chemotherapy)', 'https://en.wikipedia.org/wiki/Chemotherapy', 'https://en.wikipedia.org/wiki/Cancer_treatment', 'https://en.wikipedia.org/wiki/Cancer', 'https://en.wikipedia.org/wiki/Cell_growth#Disorders', 'https://en.wikipedia.org/wiki/Mass', 'https://en.wikipedia.org/wiki/Intrinsic_and_extrinsic_properties', 'https://en.wikipedia.org/wiki/Science']",OK - short path at /wiki/Science (last idx: 7).
/wiki/Gourock,19.0,"['https://en.wikipedia.org/wiki/Gourock', 'https://en.wikipedia.org/wiki/Inverclyde', 'https://en.wikipedia.org/wiki/Council_areas_of_Scotland', 'https://en.wikipedia.org/wiki/Local_government_in_Scotland', 'https://en.wikipedia.org/wiki/Public_service', 'https://en.wikipedia.org/wiki/Service_(economics)', 'https://en.wikipedia.org/wiki/Consumer', 'https://en.wikipedia.org/wiki/Goods', 'https://en.wikipedia.org/wiki/Economics', 'https://en.wikipedia.org/wiki/Social_science', 'https://en.wikipedia.org/wiki/Branches_of_science']",OK - short path at /wiki/Branches_of_science (last idx: 10).
/wiki/Sonny_Blu_Lo-Everton,23.0,"['https://en.wikipedia.org/wiki/Sonny_Blu_Lo-Everton', 'https://en.wikipedia.org/wiki/Midfielder', 'https://en.wikipedia.org/wiki/Association_football']",OK - short path at /wiki/Association_football (last idx: 2).
"/wiki/Kurd,_Hungary",13.0,"['https://en.wikipedia.org/wiki/Kurd,_Hungary', 'https://en.wikipedia.org/wiki/Tolna_County', 'https://en.wikipedia.org/wiki/Kingdom_of_Hungary', 'https://en.wikipedia.org/wiki/Monarchy', 'https://en.wikipedia.org/wiki/Government#Forms', 'https://en.wikipedia.org/wiki/State_(polity)']",OK - short path at /wiki/State_(polity) (last idx: 5).
/wiki/Small_wind_turbine,18.0,"['https://en.wikipedia.org/wiki/Small_wind_turbine', 'https://en.wikipedia.org/wiki/Wind_turbine', 'https://en.wikipedia.org/wiki/Wind_power', 'https://en.wikipedia.org/wiki/Wind', 'https://en.wikipedia.org/wiki/Atmosphere_of_Earth', 'https://en.wikipedia.org/wiki/Gas']",OK - short path at /wiki/Gas (last idx: 5).
/wiki/Auguste_Poulet-Malassis,11.0,"['https://en.wikipedia.org/wiki/Auguste_Poulet-Malassis', 'https://en.wikipedia.org/wiki/Charles_Baudelaire', 'https://en.wikipedia.org/wiki/French_poetry', 'https://en.wikipedia.org/wiki/French_language', 'https://en.wikipedia.org/wiki/Romance_languages', 'https://en.wikipedia.org/wiki/Language', 'https://en.wikipedia.org/wiki/Communication']",OK - short path at /wiki/Communication (last idx: 6).
/wiki/Flyer_F600_NG,20.0,"['https://en.wikipedia.org/wiki/Flyer_F600_NG', 'https://en.wikipedia.org/wiki/Ultralight_aircraft', 'https://en.wikipedia.org/wiki/Weight-shift_control', 'https://en.wikipedia.org/wiki/Aircraft_flight_control_system', 'https://en.wikipedia.org/wiki/Fixed-wing_aircraft', 'https://en.wikipedia.org/wiki/Aircraft', 'https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Machine', 'https://en.wikipedia.org/wiki/Power_(physics)', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 9).
/wiki/Eucalyptus_ammophila,13.0,"['https://en.wikipedia.org/wiki/Eucalyptus_ammophila', 'https://en.wikipedia.org/wiki/Mallee_(habit)', 'https://en.wikipedia.org/wiki/Eucalypt', 'https://en.wikipedia.org/wiki/Capsule_(fruit)', 'https://en.wikipedia.org/wiki/Botany', 'https://en.wikipedia.org/wiki/Science']",OK - short path at /wiki/Science (last idx: 5).
"/wiki/Flatt%27s_Inlet,_Bermuda",15.0,"['https://en.wikipedia.org/wiki/Flatt%27s_Inlet,_Bermuda', 'https://en.wikipedia.org/wiki/Bermuda', 'https://en.wikipedia.org/wiki/British_Overseas_Territories', 'https://en.wikipedia.org/wiki/Dependent_territory', 'https://en.wikipedia.org/wiki/Territory', 'https://en.wikipedia.org/wiki/International_relations', 'https://en.wikipedia.org/wiki/Sovereign_state']",OK - short path at /wiki/Sovereign_state (last idx: 6).
/wiki/August_Liivik,17.0,"['https://en.wikipedia.org/wiki/August_Liivik', 'https://en.wikipedia.org/wiki/Estonia', 'https://en.wikipedia.org/wiki/Baltic_Sea', 'https://en.wikipedia.org/wiki/Atlantic_Ocean', 'https://en.wikipedia.org/wiki/Ocean', 'https://en.wikipedia.org/wiki/Saline_water', 'https://en.wikipedia.org/wiki/Water']",OK - short path at /wiki/Water (last idx: 6).
/wiki/Giovanni_Salvatore,14.0,"['https://en.wikipedia.org/wiki/Giovanni_Salvatore', 'https://en.wikipedia.org/wiki/Castelvenere', 'https://en.wikipedia.org/wiki/Province_of_Benevento', 'https://en.wikipedia.org/wiki/Provinces_of_Italy']",OK - short path at /wiki/Provinces_of_Italy (last idx: 3).
/wiki/Fixed_bill,17.0,"['https://en.wikipedia.org/wiki/Fixed_bill', 'https://en.wikipedia.org/wiki/Weather_derivative', 'https://en.wikipedia.org/wiki/Financial_instrument', 'https://en.wikipedia.org/wiki/Contract', 'https://en.wikipedia.org/wiki/Party_(law)', 'https://en.wikipedia.org/wiki/Individual', 'https://en.wikipedia.org/wiki/Entity', 'https://en.wikipedia.org/wiki/Existence', 'https://en.wikipedia.org/wiki/Reality', 'https://en.wikipedia.org/wiki/Universe', 'https://en.wikipedia.org/wiki/Space', 'https://en.wikipedia.org/wiki/Three-dimensional_space', 'https://en.wikipedia.org/wiki/Geometry', 'https://en.wikipedia.org/wiki/Mathematics']",OK - short path at /wiki/Mathematics (last idx: 13).
/wiki/Hit104.7_Canberra,21.0,"['https://en.wikipedia.org/wiki/Hit104.7_Canberra', 'https://en.wikipedia.org/wiki/FM_radio', 'https://en.wikipedia.org/wiki/Radio_broadcasting', 'https://en.wikipedia.org/wiki/Broadcasting', 'https://en.wikipedia.org/wiki/Distribution_(business)', 'https://en.wikipedia.org/wiki/Value_chain', 'https://en.wikipedia.org/wiki/Goods_and_services', 'https://en.wikipedia.org/wiki/Tangible', 'https://en.wikipedia.org/wiki/Perception', 'https://en.wikipedia.org/wiki/Sense', 'https://en.wikipedia.org/wiki/Biological_system', 'https://en.wikipedia.org/wiki/Biological_network_inference', 'https://en.wikipedia.org/wiki/Inference', 'https://en.wikipedia.org/wiki/Reason']",OK - short path at /wiki/Reason (last idx: 13).
