Start,DoS,Path,Msg
/wiki/Bonifacio_Capital_District,15,"['https://en.wikipedia.org/wiki/Bonifacio_Capital_District', 'https://en.wikipedia.org/wiki/Metro_Manila', 'https://en.wikipedia.org/wiki/Capital_region', 'https://en.wikipedia.org/wiki/Capital_city', 'https://en.wikipedia.org/wiki/Municipality', 'https://en.wikipedia.org/wiki/Administrative_division', 'https://en.wikipedia.org/wiki/Sovereign_state', 'https://en.wikipedia.org/wiki/State_(polity)', 'https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Decision-making', 'https://en.wikipedia.org/wiki/Psychology', 'https://en.wikipedia.org/wiki/Mind', 'https://en.wikipedia.org/wiki/Thought', 'https://en.wikipedia.org/wiki/Consciousness', 'https://en.wikipedia.org/wiki/Awareness', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/Mei-Ting_Sun,23,"['https://en.wikipedia.org/wiki/Mei-Ting_Sun', 'https://en.wikipedia.org/wiki/Pianist', 'https://en.wikipedia.org/wiki/Musician', 'https://en.wikipedia.org/wiki/Artist', 'https://en.wikipedia.org/wiki/Art', 'https://en.wikipedia.org/wiki/Human_behavior', 'https://en.wikipedia.org/wiki/Human', 'https://en.wikipedia.org/wiki/Species', 'https://en.wikipedia.org/wiki/Organism', 'https://en.wikipedia.org/wiki/Life', 'https://en.wikipedia.org/wiki/Matter', 'https://en.wikipedia.org/wiki/Classical_physics', 'https://en.wikipedia.org/wiki/Physics', 'https://en.wikipedia.org/wiki/Natural_science', 'https://en.wikipedia.org/wiki/Branches_of_science', 'https://en.wikipedia.org/wiki/Sciences', 'https://en.wikipedia.org/wiki/Scientific_method', 'https://en.wikipedia.org/wiki/Empirical_evidence', 'https://en.wikipedia.org/wiki/Proposition', 'https://en.wikipedia.org/wiki/Philosophy_of_language', 'https://en.wikipedia.org/wiki/Analytic_philosophy', 'https://en.wikipedia.org/wiki/Contemporary_philosophy', 'https://en.wikipedia.org/wiki/Western_philosophy', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/Aldisa_zavorensis,17,"['https://en.wikipedia.org/wiki/Aldisa_zavorensis', 'https://en.wikipedia.org/wiki/Species']",OK - short path at /wiki/Species (last idx: 1).
/wiki/Lucius_Allen_(politician),21,"['https://en.wikipedia.org/wiki/Lucius_Allen_(politician)', 'https://en.wikipedia.org/wiki/Wisconsin_State_Assembly', 'https://en.wikipedia.org/wiki/Lower_house', 'https://en.wikipedia.org/wiki/Debate_chamber', 'https://en.wikipedia.org/wiki/Debate', 'https://en.wikipedia.org/wiki/Discussion_moderator', 'https://en.wikipedia.org/wiki/Academic_conference', 'https://en.wikipedia.org/wiki/Convention_(meeting)', 'https://en.wikipedia.org/wiki/Industry_(economics)', 'https://en.wikipedia.org/wiki/Macroeconomics', 'https://en.wikipedia.org/wiki/Economics', 'https://en.wikipedia.org/wiki/Social_science', 'https://en.wikipedia.org/wiki/Branches_of_science']",OK - short path at /wiki/Branches_of_science (last idx: 12).
/wiki/Blind_mate_connector,16,"['https://en.wikipedia.org/wiki/Blind_mate_connector', 'https://en.wikipedia.org/wiki/Electrical_connector', 'https://en.wikipedia.org/wiki/Electrical_circuit', 'https://en.wikipedia.org/wiki/Electronic_component', 'https://en.wikipedia.org/wiki/Electronic_device', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 5).
/wiki/The_Best_of_Murray_Leinster,11,"['https://en.wikipedia.org/wiki/The_Best_of_Murray_Leinster', 'https://en.wikipedia.org/wiki/Short_story_collection', 'https://en.wikipedia.org/wiki/Short_story', 'https://en.wikipedia.org/wiki/Prose', 'https://en.wikipedia.org/wiki/Natural_speech', 'https://en.wikipedia.org/wiki/Neuropsychology', 'https://en.wikipedia.org/wiki/Psychology']",OK - short path at /wiki/Psychology (last idx: 6).
/wiki/Matt_Nagy,24,"['https://en.wikipedia.org/wiki/Matt_Nagy', 'https://en.wikipedia.org/wiki/American_football', 'https://en.wikipedia.org/wiki/Gridiron_football', 'https://en.wikipedia.org/wiki/Football', 'https://en.wikipedia.org/wiki/Team_sport', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Physical_activity', 'https://en.wikipedia.org/wiki/Skeletal_muscle', 'https://en.wikipedia.org/wiki/Organ_(biology)', 'https://en.wikipedia.org/wiki/Organism']",OK - short path at /wiki/Organism (last idx: 9).
/wiki/Mayur_River,21,"['https://en.wikipedia.org/wiki/Mayur_River', 'https://en.wikipedia.org/wiki/Bangladesh', 'https://en.wikipedia.org/wiki/South_Asia', 'https://en.wikipedia.org/wiki/Subregion#Asia', 'https://en.wikipedia.org/wiki/Region', 'https://en.wikipedia.org/wiki/Geography', 'https://en.wikipedia.org/wiki/Earth', 'https://en.wikipedia.org/wiki/Planet', 'https://en.wikipedia.org/wiki/Hydrostatic_equilibrium', 'https://en.wikipedia.org/wiki/Fluid_mechanics', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 10).
/wiki/Neri%C4%87i,19,"['https://en.wikipedia.org/wiki/Neri%C4%87i', 'https://en.wikipedia.org/wiki/Village', 'https://en.wikipedia.org/wiki/Human_settlement', 'https://en.wikipedia.org/wiki/Geography']",OK - short path at /wiki/Geography (last idx: 3).
/wiki/Triol,10,"['https://en.wikipedia.org/wiki/Triol', 'https://en.wikipedia.org/wiki/Chemistry', 'https://en.wikipedia.org/wiki/Science', 'https://en.wikipedia.org/wiki/Scientific_method']",OK - short path at /wiki/Scientific_method (last idx: 3).
/wiki/Mickey%27s_Not-So-Scary_Halloween_Party,-1,"['https://en.wikipedia.org/wiki/Mickey%27s_Not-So-Scary_Halloween_Party', 'https://en.wikipedia.org/wiki/Halloween', 'https://en.wikipedia.org/wiki/Geography_of_Halloween']",NOK - looped at /wiki/Halloween (link idx: 1; last idx: 2)
/wiki/Giselbert_I_of_Bergamo,19,"['https://en.wikipedia.org/wiki/Giselbert_I_of_Bergamo', 'https://en.wikipedia.org/wiki/Berengar_I_of_Italy', 'https://en.wikipedia.org/wiki/King_of_Italy', 'https://en.wikipedia.org/wiki/Western_Roman_Empire', 'https://en.wikipedia.org/wiki/Historiography', 'https://en.wikipedia.org/wiki/Historian', 'https://en.wikipedia.org/wiki/Past', 'https://en.wikipedia.org/wiki/Spacetime#Definitions', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 8).
