Start,DoS,Path,Msg
/wiki/James_Ryan_(entrepreneur),16,"['https://en.wikipedia.org/wiki/James_Ryan_(entrepreneur)', 'https://en.wikipedia.org/wiki/Computer_security', 'https://en.wikipedia.org/wiki/Computer_system', 'https://en.wikipedia.org/wiki/Machine', 'https://en.wikipedia.org/wiki/Power_(physics)', 'https://en.wikipedia.org/wiki/Physics', 'https://en.wikipedia.org/wiki/Natural_science', 'https://en.wikipedia.org/wiki/Branches_of_science', 'https://en.wikipedia.org/wiki/Sciences', 'https://en.wikipedia.org/wiki/Scientific_method', 'https://en.wikipedia.org/wiki/Empirical_evidence', 'https://en.wikipedia.org/wiki/Proposition', 'https://en.wikipedia.org/wiki/Philosophy_of_language', 'https://en.wikipedia.org/wiki/Analytic_philosophy', 'https://en.wikipedia.org/wiki/Contemporary_philosophy', 'https://en.wikipedia.org/wiki/Western_philosophy', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
"/wiki/Bill_Hickey_(footballer,_born_1880)",22,"['https://en.wikipedia.org/wiki/Bill_Hickey_(footballer,_born_1880)', 'https://en.wikipedia.org/wiki/Australian_rules_football', 'https://en.wikipedia.org/wiki/Contact_sport', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Physical_activity', 'https://en.wikipedia.org/wiki/Skeletal_muscle', 'https://en.wikipedia.org/wiki/Organ_(biology)', 'https://en.wikipedia.org/wiki/Organism', 'https://en.wikipedia.org/wiki/Life', 'https://en.wikipedia.org/wiki/Matter', 'https://en.wikipedia.org/wiki/Classical_physics', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 11).
/wiki/Charles_Thomas_Newton,15,"['https://en.wikipedia.org/wiki/Charles_Thomas_Newton', 'https://en.wikipedia.org/wiki/Knight_Commander_of_the_Order_of_the_Bath', 'https://en.wikipedia.org/wiki/Order_of_chivalry', 'https://en.wikipedia.org/wiki/Order_(distinction)', 'https://en.wikipedia.org/wiki/Honour', 'https://en.wikipedia.org/wiki/Ethos', 'https://en.wikipedia.org/wiki/Greek_language', 'https://en.wikipedia.org/wiki/Indo-European_languages', 'https://en.wikipedia.org/wiki/Language_family', 'https://en.wikipedia.org/wiki/Language', 'https://en.wikipedia.org/wiki/Communication', 'https://en.wikipedia.org/wiki/Information', 'https://en.wikipedia.org/wiki/Abstraction', 'https://en.wikipedia.org/wiki/Rule_of_inference', 'https://en.wikipedia.org/wiki/Philosophy_of_logic', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/1999_North_Warwickshire_Borough_Council_election,27,"['https://en.wikipedia.org/wiki/1999_North_Warwickshire_Borough_Council_election', 'https://en.wikipedia.org/wiki/North_Warwickshire_Borough_Council', 'https://en.wikipedia.org/wiki/Non-metropolitan_district', 'https://en.wikipedia.org/wiki/Districts_of_England', 'https://en.wikipedia.org/wiki/Subdivisions_of_England', 'https://en.wikipedia.org/wiki/England', 'https://en.wikipedia.org/wiki/Countries_of_the_United_Kingdom', 'https://en.wikipedia.org/wiki/United_Kingdom', 'https://en.wikipedia.org/wiki/Northwestern_Europe', 'https://en.wikipedia.org/wiki/Subregion', 'https://en.wikipedia.org/wiki/Region', 'https://en.wikipedia.org/wiki/Geography', 'https://en.wikipedia.org/wiki/Earth', 'https://en.wikipedia.org/wiki/Planet', 'https://en.wikipedia.org/wiki/Hydrostatic_equilibrium', 'https://en.wikipedia.org/wiki/Fluid_mechanics', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 16).
/wiki/2003%E2%80%9304_AC_Ajaccio_season,23,"['https://en.wikipedia.org/wiki/2003%E2%80%9304_AC_Ajaccio_season', 'https://en.wikipedia.org/wiki/Football_in_France', 'https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Team_sport', 'https://en.wikipedia.org/wiki/Sport']",OK - short path at /wiki/Sport (last idx: 4).
/wiki/Anders_Lie,23,"['https://en.wikipedia.org/wiki/Anders_Lie', 'https://en.wikipedia.org/wiki/Denmark', 'https://en.wikipedia.org/wiki/Nordic_countries', 'https://en.wikipedia.org/wiki/Cultural_region', 'https://en.wikipedia.org/wiki/Anthropology', 'https://en.wikipedia.org/wiki/Human_behavior', 'https://en.wikipedia.org/wiki/Human', 'https://en.wikipedia.org/wiki/Species', 'https://en.wikipedia.org/wiki/Organism']",OK - short path at /wiki/Organism (last idx: 8).
/wiki/Gnoo_Blas_Motor_Racing_Circuit,15,"['https://en.wikipedia.org/wiki/Gnoo_Blas_Motor_Racing_Circuit', 'https://en.wikipedia.org/wiki/Orange,_New_South_Wales', 'https://en.wikipedia.org/wiki/Central_Tablelands', 'https://en.wikipedia.org/wiki/New_South_Wales', 'https://en.wikipedia.org/wiki/States_and_territories_of_Australia', 'https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/Sovereign_state', 'https://en.wikipedia.org/wiki/State_(polity)', 'https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Decision-making', 'https://en.wikipedia.org/wiki/Psychology', 'https://en.wikipedia.org/wiki/Mind', 'https://en.wikipedia.org/wiki/Thought', 'https://en.wikipedia.org/wiki/Consciousness', 'https://en.wikipedia.org/wiki/Awareness', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/Jassim_Yaqoob,22,"['https://en.wikipedia.org/wiki/Jassim_Yaqoob', 'https://en.wikipedia.org/wiki/Football_(soccer)', 'https://en.wikipedia.org/wiki/Team_sport']",OK - short path at /wiki/Team_sport (last idx: 2).
/wiki/The_Chesterfield_Building,14,"['https://en.wikipedia.org/wiki/The_Chesterfield_Building', 'https://en.wikipedia.org/wiki/High-rise', 'https://en.wikipedia.org/wiki/Building', 'https://en.wikipedia.org/wiki/Structure#Load-bearing', 'https://en.wikipedia.org/wiki/System', 'https://en.wikipedia.org/wiki/Environment_(systems)', 'https://en.wikipedia.org/wiki/Science', 'https://en.wikipedia.org/wiki/Scientific_method']",OK - short path at /wiki/Scientific_method (last idx: 7).
/wiki/%C5%9Anie%C5%BCkowice,19,"['https://en.wikipedia.org/wiki/%C5%9Anie%C5%BCkowice', 'https://en.wikipedia.org/wiki/Village', 'https://en.wikipedia.org/wiki/Human_settlement', 'https://en.wikipedia.org/wiki/Geography']",OK - short path at /wiki/Geography (last idx: 3).
/wiki/1913%E2%80%9314_Dartmouth_men%27s_ice_hockey_season,23,"['https://en.wikipedia.org/wiki/1913%E2%80%9314_Dartmouth_men%27s_ice_hockey_season', 'https://en.wikipedia.org/wiki/Intercollegiate_Hockey_Association', 'https://en.wikipedia.org/wiki/Ice_hockey', 'https://en.wikipedia.org/wiki/Team_sport']",OK - short path at /wiki/Team_sport (last idx: 3).
/wiki/Mooching_Through_Georgia,12,"['https://en.wikipedia.org/wiki/Mooching_Through_Georgia', 'https://en.wikipedia.org/wiki/Buster_Keaton', 'https://en.wikipedia.org/wiki/Silent_films', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Visual_art', 'https://en.wikipedia.org/wiki/Art_form', 'https://en.wikipedia.org/wiki/Creativity', 'https://en.wikipedia.org/wiki/Psychology']",OK - short path at /wiki/Psychology (last idx: 7).
/wiki/Hyundai_Trago,17,"['https://en.wikipedia.org/wiki/Hyundai_Trago', 'https://en.wikipedia.org/wiki/Commercial_vehicle', 'https://en.wikipedia.org/wiki/Motor_vehicle', 'https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Machine']",OK - short path at /wiki/Machine (last idx: 4).
/wiki/The_Tocsin,18,"['https://en.wikipedia.org/wiki/The_Tocsin', 'https://en.wikipedia.org/wiki/Edward_Findley', 'https://en.wikipedia.org/wiki/Australian_Senate', 'https://en.wikipedia.org/wiki/Upper_house', 'https://en.wikipedia.org/wiki/Legislative_chamber', 'https://en.wikipedia.org/wiki/Deliberative_assembly', 'https://en.wikipedia.org/wiki/Collective', 'https://en.wikipedia.org/wiki/Cooperative', 'https://en.wikipedia.org/wiki/Autonomy', 'https://en.wikipedia.org/wiki/Developmental_psychology', 'https://en.wikipedia.org/wiki/Science']",OK - short path at /wiki/Science (last idx: 10).
/wiki/1999_Rugby_World_Cup_qualifying,24,"['https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_qualifying', 'https://en.wikipedia.org/wiki/1999_Rugby_World_Cup', 'https://en.wikipedia.org/wiki/Rugby_World_Cup', 'https://en.wikipedia.org/wiki/Rugby_union', 'https://en.wikipedia.org/wiki/Contact_sport#Terminology', 'https://en.wikipedia.org/wiki/Sport']",OK - short path at /wiki/Sport (last idx: 5).
/wiki/Kuhmo,24,"['https://en.wikipedia.org/wiki/Kuhmo', 'https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Finland', 'https://en.wikipedia.org/wiki/Finland', 'https://en.wikipedia.org/wiki/Nordic_country', 'https://en.wikipedia.org/wiki/Cultural_region']",OK - short path at /wiki/Cultural_region (last idx: 4).
/wiki/Georgia_State_Route_216,18,"['https://en.wikipedia.org/wiki/Georgia_State_Route_216', 'https://en.wikipedia.org/wiki/State_highway_(US)', 'https://en.wikipedia.org/wiki/Route_number', 'https://en.wikipedia.org/wiki/Highway_authority', 'https://en.wikipedia.org/wiki/Government_organization', 'https://en.wikipedia.org/wiki/Industry_(economics)', 'https://en.wikipedia.org/wiki/Macroeconomics', 'https://en.wikipedia.org/wiki/Economics', 'https://en.wikipedia.org/wiki/Social_science', 'https://en.wikipedia.org/wiki/Branches_of_science']",OK - short path at /wiki/Branches_of_science (last idx: 9).
/wiki/The_Neighbors_(2012_TV_series),8,"['https://en.wikipedia.org/wiki/The_Neighbors_(2012_TV_series)', 'https://en.wikipedia.org/wiki/Science_fiction', 'https://en.wikipedia.org/wiki/Genre', 'https://en.wikipedia.org/wiki/Communication']",OK - short path at /wiki/Communication (last idx: 3).
/wiki/Mark_McDonald_(politician),24,"['https://en.wikipedia.org/wiki/Mark_McDonald_(politician)', 'https://en.wikipedia.org/wiki/Member_of_the_Scottish_Parliament', 'https://en.wikipedia.org/wiki/Scottish_Parliament', 'https://en.wikipedia.org/wiki/Devolution_in_the_United_Kingdom', 'https://en.wikipedia.org/wiki/United_Kingdom']",OK - short path at /wiki/United_Kingdom (last idx: 4).
/wiki/Climate_of_Estonia,17,"['https://en.wikipedia.org/wiki/Climate_of_Estonia', 'https://en.wikipedia.org/wiki/Estonia', 'https://en.wikipedia.org/wiki/Baltic_Sea', 'https://en.wikipedia.org/wiki/Atlantic_Ocean', 'https://en.wikipedia.org/wiki/Ocean', 'https://en.wikipedia.org/wiki/Saline_water', 'https://en.wikipedia.org/wiki/Water', 'https://en.wikipedia.org/wiki/Inorganic_compound', 'https://en.wikipedia.org/wiki/Chemistry', 'https://en.wikipedia.org/wiki/Science']",OK - short path at /wiki/Science (last idx: 9).
/wiki/Army_One,20,"['https://en.wikipedia.org/wiki/Army_One', 'https://en.wikipedia.org/wiki/Callsign', 'https://en.wikipedia.org/wiki/Broadcasting', 'https://en.wikipedia.org/wiki/Distribution_(business)', 'https://en.wikipedia.org/wiki/Value_chain', 'https://en.wikipedia.org/wiki/Goods_and_services', 'https://en.wikipedia.org/wiki/Tangible', 'https://en.wikipedia.org/wiki/Perception', 'https://en.wikipedia.org/wiki/Sense', 'https://en.wikipedia.org/wiki/Biological_system', 'https://en.wikipedia.org/wiki/Biological_network_inference', 'https://en.wikipedia.org/wiki/Inference', 'https://en.wikipedia.org/wiki/Reason', 'https://en.wikipedia.org/wiki/Logic', 'https://en.wikipedia.org/wiki/Logical_reasoning', 'https://en.wikipedia.org/wiki/Logical_consequence', 'https://en.wikipedia.org/wiki/Concept', 'https://en.wikipedia.org/wiki/Abstraction']",OK - short path at /wiki/Abstraction (last idx: 17).
