Start,DoS,Path,Msg
/wiki/Edward_D._Brown,13,"['https://en.wikipedia.org/wiki/Edward_D._Brown', 'https://en.wikipedia.org/wiki/Americans', 'https://en.wikipedia.org/wiki/Citizenship_of_the_United_States', 'https://en.wikipedia.org/wiki/Citizenship', 'https://en.wikipedia.org/wiki/Sovereign_state', 'https://en.wikipedia.org/wiki/State_(polity)', 'https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Decision-making', 'https://en.wikipedia.org/wiki/Psychology', 'https://en.wikipedia.org/wiki/Mind', 'https://en.wikipedia.org/wiki/Thought', 'https://en.wikipedia.org/wiki/Consciousness', 'https://en.wikipedia.org/wiki/Awareness', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
/wiki/Barbara_Wiese,14,"['https://en.wikipedia.org/wiki/Barbara_Wiese', 'https://en.wikipedia.org/wiki/Australian_Labor_Party_(South_Australian_Branch)', 'https://en.wikipedia.org/wiki/South_Australia', 'https://en.wikipedia.org/wiki/States_and_territories_of_Australia', 'https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/Sovereign_state']",OK - short path at /wiki/Sovereign_state (last idx: 5).
/wiki/A_Little_Bit_Longer,17,"['https://en.wikipedia.org/wiki/A_Little_Bit_Longer', 'https://en.wikipedia.org/wiki/Jonas_Brothers', 'https://en.wikipedia.org/wiki/Pop_rock', 'https://en.wikipedia.org/wiki/Fusion_genre', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Sound', 'https://en.wikipedia.org/wiki/Physics', 'https://en.wikipedia.org/wiki/Natural_science', 'https://en.wikipedia.org/wiki/Branches_of_science', 'https://en.wikipedia.org/wiki/Sciences', 'https://en.wikipedia.org/wiki/Scientific_method', 'https://en.wikipedia.org/wiki/Empirical_evidence', 'https://en.wikipedia.org/wiki/Proposition', 'https://en.wikipedia.org/wiki/Philosophy_of_language', 'https://en.wikipedia.org/wiki/Analytic_philosophy', 'https://en.wikipedia.org/wiki/Contemporary_philosophy', 'https://en.wikipedia.org/wiki/Western_philosophy', 'https://en.wikipedia.org/wiki/Philosophy']",OK - normal path.
"/wiki/Bouilly,_Aube",12,"['https://en.wikipedia.org/wiki/Bouilly,_Aube', 'https://en.wikipedia.org/wiki/Communes_of_France', 'https://en.wikipedia.org/wiki/Administrative_divisions', 'https://en.wikipedia.org/wiki/Sovereign_state']",OK - short path at /wiki/Sovereign_state (last idx: 3).
/wiki/Vineland_Handicap,18,"['https://en.wikipedia.org/wiki/Vineland_Handicap', 'https://en.wikipedia.org/wiki/Thoroughbred_horse_race', 'https://en.wikipedia.org/wiki/Horse_industry', 'https://en.wikipedia.org/wiki/Horse', 'https://en.wikipedia.org/wiki/Domestication', 'https://en.wikipedia.org/wiki/Mutualism_(biology)', 'https://en.wikipedia.org/wiki/Biological_interaction', 'https://en.wikipedia.org/wiki/Ecology', 'https://en.wikipedia.org/wiki/Natural_science']",OK - short path at /wiki/Natural_science (last idx: 8).
/wiki/RK_Metkovi%C4%87,22,"['https://en.wikipedia.org/wiki/RK_Metkovi%C4%87', 'https://en.wikipedia.org/wiki/Handball', 'https://en.wikipedia.org/wiki/Team_sport', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Physical_activity', 'https://en.wikipedia.org/wiki/Skeletal_muscle', 'https://en.wikipedia.org/wiki/Organ_(biology)', 'https://en.wikipedia.org/wiki/Organism', 'https://en.wikipedia.org/wiki/Life', 'https://en.wikipedia.org/wiki/Matter', 'https://en.wikipedia.org/wiki/Classical_physics', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 11).
/wiki/Ny-Hellesund,15,"['https://en.wikipedia.org/wiki/Ny-Hellesund', 'https://en.wikipedia.org/wiki/Outport', 'https://en.wikipedia.org/wiki/Port', 'https://en.wikipedia.org/wiki/Maritime_law', 'https://en.wikipedia.org/wiki/Law', 'https://en.wikipedia.org/wiki/Law_enforcement', 'https://en.wikipedia.org/wiki/Government', 'https://en.wikipedia.org/wiki/State_(polity)']",OK - short path at /wiki/State_(polity) (last idx: 7).
/wiki/XFOIL,15,"['https://en.wikipedia.org/wiki/XFOIL', 'https://en.wikipedia.org/wiki/Airfoil', 'https://en.wikipedia.org/wiki/Lift_(force)', 'https://en.wikipedia.org/wiki/Fluid', 'https://en.wikipedia.org/wiki/Physics']",OK - short path at /wiki/Physics (last idx: 4).
/wiki/1928_Copa_del_Rey,17,"['https://en.wikipedia.org/wiki/1928_Copa_del_Rey', 'https://en.wikipedia.org/wiki/Copa_del_Rey', 'https://en.wikipedia.org/wiki/Single-elimination_tournament', 'https://en.wikipedia.org/wiki/Elimination_tournament', 'https://en.wikipedia.org/wiki/Competition', 'https://en.wikipedia.org/wiki/Rivalry', 'https://en.wikipedia.org/wiki/Social_group', 'https://en.wikipedia.org/wiki/Social_science', 'https://en.wikipedia.org/wiki/Branches_of_science']",OK - short path at /wiki/Branches_of_science (last idx: 8).
/wiki/Temple_of_Piety,-1,"['https://en.wikipedia.org/wiki/Temple_of_Piety', 'https://en.wikipedia.org/wiki/Ancient_Roman_religion', 'https://en.wikipedia.org/wiki/Pax_deorum']",NOK - looped at /wiki/Ancient_Roman_religion (link idx: 1; last idx: 2)
