Links,DoS
https://en.wikipedia.org/wiki/United_States_v._Perez,16
https://en.wikipedia.org/wiki/Supreme_Court_of_the_United_States,15
https://en.wikipedia.org/wiki/Highest_court,14
https://en.wikipedia.org/wiki/Jurisdiction,13
https://en.wikipedia.org/wiki/Right,12
https://en.wikipedia.org/wiki/Law,11
https://en.wikipedia.org/wiki/Law_enforcement,10
https://en.wikipedia.org/wiki/Government,9
https://en.wikipedia.org/wiki/State_(polity),8
https://en.wikipedia.org/wiki/Politics,7
https://en.wikipedia.org/wiki/Decision-making,6
https://en.wikipedia.org/wiki/Psychology,5
