Start,DoS,Path,Msg
/wiki/Anlu,-1.0,"['https://es.wikipedia.org/wiki/Anlu', 'https://es.wikipedia.org/wiki/Ciudad-condado_de_la_Rep%C3%BAblica_Popular_China', 'https://es.wikipedia.org/wiki/Organizaci%C3%B3n_territorial_de_la_Rep%C3%BAblica_Popular_China', 'https://es.wikipedia.org/wiki/Provincias_de_China']",NOK - looped at /wiki/Organizaci%C3%B3n_territorial_de_la_Rep%C3%BAblica_Popular_China (link idx: 2; last idx: 3)
/wiki/Marcial_Souto,-1.0,"['https://es.wikipedia.org/wiki/Marcial_Souto', 'https://es.wikipedia.org/wiki/Argentina', 'https://es.wikipedia.org/wiki/Estado_naci%C3%B3n', 'https://es.wikipedia.org/wiki/Territorio', 'https://es.wikipedia.org/wiki/%C3%81rea', 'https://es.wikipedia.org/wiki/Espacio_m%C3%A9trico', 'https://es.wikipedia.org/wiki/Matem%C3%A1tica', 'https://es.wikipedia.org/wiki/Ciencias_formales', 'https://es.wikipedia.org/wiki/Ciencia', 'https://es.wikipedia.org/wiki/Sistema', 'https://es.wikipedia.org/wiki/Concepto', 'https://es.wikipedia.org/wiki/Entendimiento', 'https://es.wikipedia.org/wiki/Aptitud', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",NOK - looped at /wiki/Ciencia (link idx: 8; last idx: 13)
/wiki/Fiordo_Kaiser_Franz_Joseph,-1.0,"['https://es.wikipedia.org/wiki/Fiordo_Kaiser_Franz_Joseph', 'https://es.wikipedia.org/wiki/Parque_nacional_del_noreste_de_Groenlandia', 'https://es.wikipedia.org/wiki/Parque_nacional', 'https://es.wikipedia.org/wiki/%C3%81rea_protegida', 'https://es.wikipedia.org/wiki/Convenio_sobre_la_Diversidad_Biol%C3%B3gica', 'https://es.wikipedia.org/wiki/Conservaci%C3%B3n_de_la_vida_silvestre', 'https://es.wikipedia.org/wiki/Especie', 'https://es.wikipedia.org/wiki/Taxonom%C3%ADa', 'https://es.wikipedia.org/wiki/Ser_vivo', 'https://es.wikipedia.org/wiki/Sistema']",NOK - short path at /wiki/Sistema (last idx: 9).
/wiki/Avenida_Ferrocarril_de_Occidente,-1.0,"['https://es.wikipedia.org/wiki/Avenida_Ferrocarril_de_Occidente', 'https://es.wikipedia.org/wiki/Bogot%C3%A1', 'https://es.wikipedia.org/wiki/Capital_(pol%C3%ADtica)', 'https://es.wikipedia.org/wiki/Ciudad', 'https://es.wikipedia.org/wiki/Pueblo_(poblaci%C3%B3n_rural)', 'https://es.wikipedia.org/wiki/Localidad', 'https://es.wikipedia.org/wiki/N%C3%BAcleo_de_poblaci%C3%B3n', 'https://es.wikipedia.org/wiki/Asentamiento', 'https://es.wikipedia.org/wiki/Persona', 'https://es.wikipedia.org/wiki/Individuo', 'https://es.wikipedia.org/wiki/Uno', 'https://es.wikipedia.org/wiki/N%C3%BAmero_natural', 'https://es.wikipedia.org/wiki/Matem%C3%A1ticas', 'https://es.wikipedia.org/wiki/Ciencias_formales']",NOK - short path at /wiki/Ciencias_formales (last idx: 13).
/wiki/Wessington_Springs_(Dakota_del_Sur),-1.0,"['https://es.wikipedia.org/wiki/Wessington_Springs_(Dakota_del_Sur)', 'https://es.wikipedia.org/wiki/Ciudades_de_Estados_Unidos', 'https://es.wikipedia.org/wiki/Estados_Unidos', 'https://es.wikipedia.org/wiki/Estado', 'https://es.wikipedia.org/wiki/Instituciones', 'https://es.wikipedia.org/wiki/Relaciones_sociales', 'https://es.wikipedia.org/wiki/Interacci%C3%B3n_social', 'https://es.wikipedia.org/wiki/Conflicto', 'https://es.wikipedia.org/wiki/Poder_(social_y_pol%C3%ADtico)', 'https://es.wikipedia.org/wiki/Ciencias_sociales', 'https://es.wikipedia.org/wiki/Ramas_de_la_ciencia', 'https://es.wikipedia.org/wiki/Ciencias_formales']",NOK - short path at /wiki/Ciencias_formales (last idx: 11).
/wiki/Ling%C3%BC%C3%ADstica_matem%C3%A1tica,-1.0,"['https://es.wikipedia.org/wiki/Ling%C3%BC%C3%ADstica_matem%C3%A1tica', 'https://es.wikipedia.org/wiki/Teor%C3%ADa_de_la_informaci%C3%B3n', 'https://es.wikipedia.org/wiki/Claude_Shannon', 'https://es.wikipedia.org/wiki/Matem%C3%A1tico', 'https://es.wikipedia.org/wiki/Matem%C3%A1tica']",NOK - short path at /wiki/Matem%C3%A1tica (last idx: 4).
/wiki/Camila_(pel%C3%ADcula),-1.0,"['https://es.wikipedia.org/wiki/Camila_(pel%C3%ADcula)', 'https://es.wikipedia.org/wiki/Cine_de_Argentina', 'https://es.wikipedia.org/wiki/Cine_latinoamericano', 'https://es.wikipedia.org/wiki/Cine', 'https://es.wikipedia.org/wiki/T%C3%A9cnica', 'https://es.wikipedia.org/wiki/Primates', 'https://es.wikipedia.org/wiki/Orden_(biolog%C3%ADa)', 'https://es.wikipedia.org/wiki/Biolog%C3%ADa', 'https://es.wikipedia.org/wiki/Ciencia_natural', 'https://es.wikipedia.org/wiki/Ciencia']",NOK - short path at /wiki/Ciencia (last idx: 9).
/wiki/The_Knockout,-1.0,"['https://es.wikipedia.org/wiki/The_Knockout', 'https://es.wikipedia.org/wiki/Cortometraje', 'https://es.wikipedia.org/wiki/Producci%C3%B3n_audiovisual', 'https://es.wikipedia.org/wiki/Medios_de_comunicaci%C3%B3n', 'https://es.wikipedia.org/wiki/Medio_de_comunicaci%C3%B3n_de_masas', 'https://es.wikipedia.org/wiki/Medio_de_comunicaci%C3%B3n']",NOK - looped at /wiki/Medio_de_comunicaci%C3%B3n_de_masas (link idx: 4; last idx: 5)
/wiki/Arionidae,-1.0,"['https://es.wikipedia.org/wiki/Arionidae', 'https://es.wikipedia.org/wiki/Familia_(biolog%C3%ADa)', 'https://es.wikipedia.org/wiki/Biolog%C3%ADa']",NOK - short path at /wiki/Biolog%C3%ADa (last idx: 2).
/wiki/Sr%C4%91an_Baj%C4%8Deti%C4%87,-1.0,"['https://es.wikipedia.org/wiki/Sr%C4%91an_Baj%C4%8Deti%C4%87', 'https://es.wikipedia.org/wiki/Centrocampista', 'https://es.wikipedia.org/wiki/F%C3%BAtbol', 'https://es.wikipedia.org/wiki/Deporte_de_equipo', 'https://es.wikipedia.org/wiki/F%C3%BAtbol_en_los_Juegos_Ol%C3%ADmpicos']",NOK - looped at /wiki/F%C3%BAtbol (link idx: 2; last idx: 4)
