Start,DoS,Path,Msg
/wiki/Liu_Xiuhua,18,"['https://es.wikipedia.org/wiki/Liu_Xiuhua', 'https://es.wikipedia.org/wiki/Rep%C3%BAblica_Popular_China', 'https://es.wikipedia.org/wiki/Estado_soberano', 'https://es.wikipedia.org/wiki/Derecho_internacional', 'https://es.wikipedia.org/wiki/Estado', 'https://es.wikipedia.org/wiki/Instituciones', 'https://es.wikipedia.org/wiki/Relaciones_sociales', 'https://es.wikipedia.org/wiki/Interacci%C3%B3n_social', 'https://es.wikipedia.org/wiki/Conflicto', 'https://es.wikipedia.org/wiki/Poder_(social_y_pol%C3%ADtico)', 'https://es.wikipedia.org/wiki/Ciencias_sociales', 'https://es.wikipedia.org/wiki/Ramas_de_la_ciencia', 'https://es.wikipedia.org/wiki/Ciencias_formales', 'https://es.wikipedia.org/wiki/Ciencia', 'https://es.wikipedia.org/wiki/Sistema', 'https://es.wikipedia.org/wiki/Concepto', 'https://es.wikipedia.org/wiki/Entendimiento', 'https://es.wikipedia.org/wiki/Aptitud', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Gornji_Hrgovi,16,"['https://es.wikipedia.org/wiki/Gornji_Hrgovi', 'https://es.wikipedia.org/wiki/Pueblo_(poblaci%C3%B3n_rural)', 'https://es.wikipedia.org/wiki/Localidad', 'https://es.wikipedia.org/wiki/N%C3%BAcleo_de_poblaci%C3%B3n', 'https://es.wikipedia.org/wiki/Asentamiento', 'https://es.wikipedia.org/wiki/Persona', 'https://es.wikipedia.org/wiki/Individuo', 'https://es.wikipedia.org/wiki/Uno', 'https://es.wikipedia.org/wiki/N%C3%BAmero_natural', 'https://es.wikipedia.org/wiki/Matem%C3%A1ticas', 'https://es.wikipedia.org/wiki/Ciencias_formales']",OK - short path at /wiki/Ciencias_formales (last idx: 10).
/wiki/Isla_Jidda,14,"['https://es.wikipedia.org/wiki/Isla_Jidda', 'https://es.wikipedia.org/wiki/Isla_Iris', 'https://es.wikipedia.org/wiki/Mar_Mediterr%C3%A1neo', 'https://es.wikipedia.org/wiki/Mar', 'https://es.wikipedia.org/wiki/Oc%C3%A9ano', 'https://es.wikipedia.org/wiki/Hidr%C3%B3sfera', 'https://es.wikipedia.org/wiki/Ciencias_de_la_Tierra', 'https://es.wikipedia.org/wiki/Geolog%C3%ADa', 'https://es.wikipedia.org/wiki/Ciencias_naturales', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 9).
/wiki/Zawiesiuchy,-1,"['https://es.wikipedia.org/wiki/Zawiesiuchy', 'https://es.wikipedia.org/wiki/Alfabeto_Fon%C3%A9tico_Internacional', 'https://es.wikipedia.org/wiki/Transcripci%C3%B3n_fon%C3%A9tica', 'https://es.wikipedia.org/wiki/Habla', 'https://es.wikipedia.org/wiki/Lengua_(ling%C3%BC%C3%ADstica)', 'https://es.wikipedia.org/wiki/Comunicaci%C3%B3n', 'https://es.wikipedia.org/wiki/Conciencia', 'https://es.wikipedia.org/wiki/Conocimiento', 'https://es.wikipedia.org/wiki/Hecho_(filosof%C3%ADa)', 'https://es.wikipedia.org/wiki/Lexema', 'https://es.wikipedia.org/wiki/Morfema', 'https://es.wikipedia.org/wiki/Monema']",NOK - looped at /wiki/Morfema (link idx: 10; last idx: 11)
/wiki/Pitis_de_Palembang,14,"['https://es.wikipedia.org/wiki/Pitis_de_Palembang', 'https://es.wikipedia.org/wiki/Sultanato_de_Palembang', 'https://es.wikipedia.org/wiki/Palembang', 'https://es.wikipedia.org/wiki/Provincia_de_Sumatra_Meridional', 'https://es.wikipedia.org/wiki/Provincias_de_Indonesia', 'https://es.wikipedia.org/wiki/Gobernador', 'https://es.wikipedia.org/wiki/Pol%C3%ADtico', 'https://es.wikipedia.org/wiki/Pol%C3%ADtica', 'https://es.wikipedia.org/wiki/Toma_de_decisiones', 'https://es.wikipedia.org/wiki/Vida', 'https://es.wikipedia.org/wiki/Sistema']",OK - short path at /wiki/Sistema (last idx: 10).
/wiki/Gran_Premio_de_Jasna_G%C3%B3ra,17,"['https://es.wikipedia.org/wiki/Gran_Premio_de_Jasna_G%C3%B3ra', 'https://es.wikipedia.org/wiki/Jasna_G%C3%B3ra', 'https://es.wikipedia.org/wiki/Czestochowa', 'https://es.wikipedia.org/wiki/Polonia', 'https://es.wikipedia.org/wiki/Europa_Central', 'https://es.wikipedia.org/wiki/Europa', 'https://es.wikipedia.org/wiki/Continente', 'https://es.wikipedia.org/wiki/Territorio', 'https://es.wikipedia.org/wiki/%C3%81rea', 'https://es.wikipedia.org/wiki/Espacio_m%C3%A9trico', 'https://es.wikipedia.org/wiki/Matem%C3%A1tica', 'https://es.wikipedia.org/wiki/Ciencias_formales']",OK - short path at /wiki/Ciencias_formales (last idx: 11).
/wiki/Campeonato_Mundial_de_Lucha_de_1922,7,"['https://es.wikipedia.org/wiki/Campeonato_Mundial_de_Lucha_de_1922', 'https://es.wikipedia.org/wiki/Campeonato_Mundial_de_Lucha', 'https://es.wikipedia.org/wiki/Lucha_(deporte)', 'https://es.wikipedia.org/wiki/Atletismo', 'https://es.wikipedia.org/wiki/Deporte', 'https://es.wikipedia.org/wiki/Juego', 'https://es.wikipedia.org/wiki/Actividad', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Peter_J._Denning,-1,"['https://es.wikipedia.org/wiki/Peter_J._Denning', 'https://es.wikipedia.org/wiki/Inform%C3%A1tico_te%C3%B3rico', 'https://es.wikipedia.org/wiki/Cient%C3%ADfico_de_la_computaci%C3%B3n']",NOK - looped at /wiki/Cient%C3%ADfico_de_la_computaci%C3%B3n (link idx: 2; last idx: 2)
/wiki/Mateo_Santamarta,14,"['https://es.wikipedia.org/wiki/Mateo_Santamarta', 'https://es.wikipedia.org/wiki/Provincia_de_Le%C3%B3n', 'https://es.wikipedia.org/wiki/Provincia_de_Espa%C3%B1a', 'https://es.wikipedia.org/wiki/Demarcaci%C3%B3n_administrativa', 'https://es.wikipedia.org/wiki/Entidades_pol%C3%ADticas', 'https://es.wikipedia.org/wiki/Ciencia_pol%C3%ADtica', 'https://es.wikipedia.org/wiki/Ciencia_social', 'https://es.wikipedia.org/wiki/Ramas_de_la_ciencia']",OK - short path at /wiki/Ramas_de_la_ciencia (last idx: 7).
/wiki/Anexo:XIX_Premios_Iris,-1,"['https://es.wikipedia.org/wiki/Anexo:XIX_Premios_Iris', 'https://es.wikipedia.org/wiki/Premios_Iris_de_Espa%C3%B1a', 'https://es.wikipedia.org/wiki/Academia_de_Televisi%C3%B3n_y_de_las_Ciencias_y_Artes_del_Audiovisual_de_Espa%C3%B1a', 'https://es.wikipedia.org/wiki/Premios_ATV']",NOK - looped at /wiki/Academia_de_Televisi%C3%B3n_y_de_las_Ciencias_y_Artes_del_Audiovisual_de_Espa%C3%B1a (link idx: 2; last idx: 3)
/wiki/Idioma_paumar%C3%AD,8,"['https://es.wikipedia.org/wiki/Idioma_paumar%C3%AD', 'https://es.wikipedia.org/wiki/Lenguas_arauanas', 'https://es.wikipedia.org/wiki/Familia_de_lenguas', 'https://es.wikipedia.org/wiki/Idioma', 'https://es.wikipedia.org/wiki/Sistema']",OK - short path at /wiki/Sistema (last idx: 4).
/wiki/The_Snow_Walker,17,"['https://es.wikipedia.org/wiki/The_Snow_Walker', 'https://es.wikipedia.org/wiki/Barry_Pepper', 'https://es.wikipedia.org/wiki/Actor', 'https://es.wikipedia.org/wiki/Improvisaci%C3%B3n', 'https://es.wikipedia.org/wiki/Guion_(g%C3%A9nero_literario)', 'https://es.wikipedia.org/wiki/Pel%C3%ADcula', 'https://es.wikipedia.org/wiki/Im%C3%A1genes', 'https://es.wikipedia.org/wiki/Vista', 'https://es.wikipedia.org/wiki/Espectro_visible', 'https://es.wikipedia.org/wiki/Espectro_electromagn%C3%A9tico', 'https://es.wikipedia.org/wiki/F%C3%ADsica', 'https://es.wikipedia.org/wiki/Ciencias_naturales']",OK - short path at /wiki/Ciencias_naturales (last idx: 11).
/wiki/Mikael_Uhre,-1,"['https://es.wikipedia.org/wiki/Mikael_Uhre', 'https://es.wikipedia.org/wiki/F%C3%BAtbol', 'https://es.wikipedia.org/wiki/Deporte_de_equipo', 'https://es.wikipedia.org/wiki/F%C3%BAtbol_en_los_Juegos_Ol%C3%ADmpicos']",NOK - looped at /wiki/F%C3%BAtbol (link idx: 1; last idx: 3)
/wiki/Bandera_de_Letonia,7,"['https://es.wikipedia.org/wiki/Bandera_de_Letonia', 'https://es.wikipedia.org/wiki/Bandera', 'https://es.wikipedia.org/wiki/Tela', 'https://es.wikipedia.org/wiki/Hilo', 'https://es.wikipedia.org/wiki/Industria_textil', 'https://es.wikipedia.org/wiki/Industria', 'https://es.wikipedia.org/wiki/Actividad']",OK - short path at /wiki/Actividad (last idx: 6).
/wiki/Wolfgang_Pauli,9,"['https://es.wikipedia.org/wiki/Wolfgang_Pauli', 'https://es.wikipedia.org/wiki/F%C3%ADsica_te%C3%B3rica', 'https://es.wikipedia.org/wiki/F%C3%ADsica']",OK - short path at /wiki/F%C3%ADsica (last idx: 2).
