Start,DoS,Path,Msg
/wiki/Toxeus_globosus,8,"['https://es.wikipedia.org/wiki/Toxeus_globosus', 'https://es.wikipedia.org/wiki/Especie', 'https://es.wikipedia.org/wiki/Taxonom%C3%ADa', 'https://es.wikipedia.org/wiki/Ser_vivo', 'https://es.wikipedia.org/wiki/Sistema', 'https://es.wikipedia.org/wiki/Concepto', 'https://es.wikipedia.org/wiki/Entendimiento', 'https://es.wikipedia.org/wiki/Aptitud', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Gavrinis,9,"['https://es.wikipedia.org/wiki/Gavrinis', 'https://es.wikipedia.org/wiki/Idioma_bret%C3%B3n', 'https://es.wikipedia.org/wiki/Lengua_c%C3%A9ltica', 'https://es.wikipedia.org/wiki/Familias_de_lenguas', 'https://es.wikipedia.org/wiki/Idioma', 'https://es.wikipedia.org/wiki/Sistema']",OK - short path at /wiki/Sistema (last idx: 5).
/wiki/Volcano_Entertainment,-1,"['https://es.wikipedia.org/wiki/Volcano_Entertainment', 'https://es.wikipedia.org/wiki/Sello_discogr%C3%A1fico', 'https://es.wikipedia.org/wiki/Empresa', 'https://es.wikipedia.org/wiki/Factores_de_producci%C3%B3n', 'https://es.wikipedia.org/wiki/Econom%C3%ADa', 'https://es.wikipedia.org/wiki/Producci%C3%B3n_(econom%C3%ADa)']",NOK - looped at /wiki/Econom%C3%ADa (link idx: 4; last idx: 5)
/wiki/Proyecto_Ctesifonte_de_Rafael_de_la_Hoz,-1,"['https://es.wikipedia.org/wiki/Proyecto_Ctesifonte_de_Rafael_de_la_Hoz', 'https://es.wikipedia.org/wiki/Rafael_de_La-Hoz_Arderius', 'https://es.wikipedia.org/wiki/Arquitecto', 'https://es.wikipedia.org/wiki/BIM', 'https://es.wikipedia.org/wiki/Gesti%C3%B3n_de_datos', 'https://es.wikipedia.org/wiki/Dato', 'https://es.wikipedia.org/wiki/C%C3%B3digo_(comunicaci%C3%B3n)', 'https://es.wikipedia.org/wiki/Comunicaci%C3%B3n', 'https://es.wikipedia.org/wiki/Conciencia', 'https://es.wikipedia.org/wiki/Conocimiento', 'https://es.wikipedia.org/wiki/Hecho_(filosof%C3%ADa)', 'https://es.wikipedia.org/wiki/Lexema', 'https://es.wikipedia.org/wiki/Morfema', 'https://es.wikipedia.org/wiki/Monema']",NOK - looped at /wiki/Morfema (link idx: 12; last idx: 13)
/wiki/Jacqueline_Nova,20,"['https://es.wikipedia.org/wiki/Jacqueline_Nova', 'https://es.wikipedia.org/wiki/Gante', 'https://es.wikipedia.org/wiki/B%C3%A9lgica', 'https://es.wikipedia.org/wiki/Estado_miembro_de_la_Uni%C3%B3n_Europea', 'https://es.wikipedia.org/wiki/Uni%C3%B3n_Europea', 'https://es.wikipedia.org/wiki/Uni%C3%B3n_pol%C3%ADtica', 'https://es.wikipedia.org/wiki/Estado', 'https://es.wikipedia.org/wiki/Instituciones', 'https://es.wikipedia.org/wiki/Relaciones_sociales', 'https://es.wikipedia.org/wiki/Interacci%C3%B3n_social', 'https://es.wikipedia.org/wiki/Conflicto', 'https://es.wikipedia.org/wiki/Poder_(social_y_pol%C3%ADtico)', 'https://es.wikipedia.org/wiki/Ciencias_sociales', 'https://es.wikipedia.org/wiki/Ramas_de_la_ciencia', 'https://es.wikipedia.org/wiki/Ciencias_formales', 'https://es.wikipedia.org/wiki/Ciencia', 'https://es.wikipedia.org/wiki/Sistema']",OK - short path at /wiki/Sistema (last idx: 16).
/wiki/Anthocharis,8,"['https://es.wikipedia.org/wiki/Anthocharis', 'https://es.wikipedia.org/wiki/G%C3%A9nero_(biolog%C3%ADa)', 'https://es.wikipedia.org/wiki/Taxonom%C3%ADa']",OK - short path at /wiki/Taxonom%C3%ADa (last idx: 2).
/wiki/Saab_99,17,"['https://es.wikipedia.org/wiki/Saab_99', 'https://es.wikipedia.org/wiki/Saab_Automobile', 'https://es.wikipedia.org/wiki/Suecia', 'https://es.wikipedia.org/wiki/Escandinavia', 'https://es.wikipedia.org/wiki/Europa_Septentrional', 'https://es.wikipedia.org/wiki/Continente_europeo', 'https://es.wikipedia.org/wiki/Continente', 'https://es.wikipedia.org/wiki/Territorio', 'https://es.wikipedia.org/wiki/%C3%81rea', 'https://es.wikipedia.org/wiki/Espacio_m%C3%A9trico', 'https://es.wikipedia.org/wiki/Matem%C3%A1tica', 'https://es.wikipedia.org/wiki/Ciencias_formales']",OK - short path at /wiki/Ciencias_formales (last idx: 11).
/wiki/Isla_de_la_punta_de_Yeisk,14,"['https://es.wikipedia.org/wiki/Isla_de_la_punta_de_Yeisk', 'https://es.wikipedia.org/wiki/Isla', 'https://es.wikipedia.org/wiki/Relieve_terrestre', 'https://es.wikipedia.org/wiki/Corteza_terrestre', 'https://es.wikipedia.org/wiki/Ge%C3%B3sfera', 'https://es.wikipedia.org/wiki/Litosfera', 'https://es.wikipedia.org/wiki/Tierra', 'https://es.wikipedia.org/wiki/Planeta', 'https://es.wikipedia.org/wiki/Objeto_astron%C3%B3mico', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 9).
/wiki/Mario_Devandas,16,"['https://es.wikipedia.org/wiki/Mario_Devandas', 'https://es.wikipedia.org/wiki/Costa_Rica', 'https://es.wikipedia.org/wiki/Estado']",OK - short path at /wiki/Estado (last idx: 2).
/wiki/Clariallabes_mutsindoziensis,8,"['https://es.wikipedia.org/wiki/Clariallabes_mutsindoziensis', 'https://es.wikipedia.org/wiki/Especie']",OK - short path at /wiki/Especie (last idx: 1).
