Start,DoS,Path,Msg
/wiki/Juan_Antonio_Cort%C3%A9s_Garc%C3%ADa_de_Quevedo,19.0,"['https://es.wikipedia.org/wiki/Juan_Antonio_Cort%C3%A9s_Garc%C3%ADa_de_Quevedo', 'https://es.wikipedia.org/wiki/Monasterio_de_San_Zoilo', 'https://es.wikipedia.org/wiki/Carri%C3%B3n_de_los_Condes', 'https://es.wikipedia.org/wiki/Municipio_(Espa%C3%B1a)', 'https://es.wikipedia.org/wiki/Espa%C3%B1a', 'https://es.wikipedia.org/wiki/Estado', 'https://es.wikipedia.org/wiki/Instituciones', 'https://es.wikipedia.org/wiki/Relaciones_sociales', 'https://es.wikipedia.org/wiki/Interacci%C3%B3n_social', 'https://es.wikipedia.org/wiki/Conflicto', 'https://es.wikipedia.org/wiki/Poder_(social_y_pol%C3%ADtico)', 'https://es.wikipedia.org/wiki/Ciencias_sociales', 'https://es.wikipedia.org/wiki/Ramas_de_la_ciencia', 'https://es.wikipedia.org/wiki/Ciencias_formales', 'https://es.wikipedia.org/wiki/Ciencia', 'https://es.wikipedia.org/wiki/Sistema', 'https://es.wikipedia.org/wiki/Concepto', 'https://es.wikipedia.org/wiki/Entendimiento', 'https://es.wikipedia.org/wiki/Aptitud', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Juan_Villoro,18.0,"['https://es.wikipedia.org/wiki/Juan_Villoro', 'https://es.wikipedia.org/wiki/M%C3%A9xico', 'https://es.wikipedia.org/wiki/Pa%C3%ADs_soberano', 'https://es.wikipedia.org/wiki/Derecho_internacional', 'https://es.wikipedia.org/wiki/Estado']",OK - short path at /wiki/Estado (last idx: 4).
/wiki/Conjunto_Hist%C3%B3rico_de_la_Ciudad_de_Palencia,17.0,"['https://es.wikipedia.org/wiki/Conjunto_Hist%C3%B3rico_de_la_Ciudad_de_Palencia', 'https://es.wikipedia.org/wiki/Conjunto_Hist%C3%B3rico', 'https://es.wikipedia.org/wiki/Espa%C3%B1a']",OK - short path at /wiki/Espa%C3%B1a (last idx: 2).
/wiki/Uni%C3%B3n_Baloncesto_La_Palma,16.0,"['https://es.wikipedia.org/wiki/Uni%C3%B3n_Baloncesto_La_Palma', 'https://es.wikipedia.org/wiki/Espa%C3%B1a']",OK - short path at /wiki/Espa%C3%B1a (last idx: 1).
/wiki/Campeonato_Mundial_de_Tiro_al_Plato_de_1995,6.0,"['https://es.wikipedia.org/wiki/Campeonato_Mundial_de_Tiro_al_Plato_de_1995', 'https://es.wikipedia.org/wiki/Campeonato_Mundial_de_Tiro', 'https://es.wikipedia.org/wiki/Tiro_deportivo', 'https://es.wikipedia.org/wiki/Deporte', 'https://es.wikipedia.org/wiki/Juego', 'https://es.wikipedia.org/wiki/Actividad', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Premio_Nacional_de_Cultura_(Bolivia),18.0,"['https://es.wikipedia.org/wiki/Premio_Nacional_de_Cultura_(Bolivia)', 'https://es.wikipedia.org/wiki/Bolivia', 'https://es.wikipedia.org/wiki/Estado_soberano', 'https://es.wikipedia.org/wiki/Derecho_internacional']",OK - short path at /wiki/Derecho_internacional (last idx: 3).
/wiki/Kawemhakan,16.0,"['https://es.wikipedia.org/wiki/Kawemhakan', 'https://es.wikipedia.org/wiki/Surinam', 'https://es.wikipedia.org/wiki/Guayana_Neerlandesa', 'https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur', 'https://es.wikipedia.org/wiki/Subcontinente', 'https://es.wikipedia.org/wiki/Continente', 'https://es.wikipedia.org/wiki/Territorio', 'https://es.wikipedia.org/wiki/%C3%81rea', 'https://es.wikipedia.org/wiki/Espacio_m%C3%A9trico', 'https://es.wikipedia.org/wiki/Matem%C3%A1tica', 'https://es.wikipedia.org/wiki/Ciencias_formales']",OK - short path at /wiki/Ciencias_formales (last idx: 10).
/wiki/Barn,9.0,"['https://es.wikipedia.org/wiki/Barn', 'https://es.wikipedia.org/wiki/Unidades_de_superficie', 'https://es.wikipedia.org/wiki/Propiedad_f%C3%ADsica', 'https://es.wikipedia.org/wiki/Medici%C3%B3n', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 4).
/wiki/Adolf_Sch%C3%B6n,5.0,"['https://es.wikipedia.org/wiki/Adolf_Sch%C3%B6n', 'https://es.wikipedia.org/wiki/Ciclismo', 'https://es.wikipedia.org/wiki/Deporte']",OK - short path at /wiki/Deporte (last idx: 2).
/wiki/Eliza_Macadan,19.0,"['https://es.wikipedia.org/wiki/Eliza_Macadan', 'https://es.wikipedia.org/wiki/Ruman%C3%ADa', 'https://es.wikipedia.org/wiki/Estado_miembro_de_la_Uni%C3%B3n_Europea', 'https://es.wikipedia.org/wiki/Uni%C3%B3n_Europea', 'https://es.wikipedia.org/wiki/Uni%C3%B3n_pol%C3%ADtica', 'https://es.wikipedia.org/wiki/Estado']",OK - short path at /wiki/Estado (last idx: 5).
/wiki/Limones_(Yabucoa),18.0,"['https://es.wikipedia.org/wiki/Limones_(Yabucoa)', 'https://es.wikipedia.org/wiki/Barrio', 'https://es.wikipedia.org/wiki/Ciudad', 'https://es.wikipedia.org/wiki/Pueblo_(poblaci%C3%B3n_rural)', 'https://es.wikipedia.org/wiki/Localidad', 'https://es.wikipedia.org/wiki/N%C3%BAcleo_de_poblaci%C3%B3n', 'https://es.wikipedia.org/wiki/Asentamiento', 'https://es.wikipedia.org/wiki/Persona', 'https://es.wikipedia.org/wiki/Individuo', 'https://es.wikipedia.org/wiki/Uno', 'https://es.wikipedia.org/wiki/N%C3%BAmero_natural', 'https://es.wikipedia.org/wiki/Matem%C3%A1ticas', 'https://es.wikipedia.org/wiki/Ciencias_formales']",OK - short path at /wiki/Ciencias_formales (last idx: 12).
/wiki/Sylvietta_philippae,8.0,"['https://es.wikipedia.org/wiki/Sylvietta_philippae', 'https://es.wikipedia.org/wiki/Especie', 'https://es.wikipedia.org/wiki/Taxonom%C3%ADa', 'https://es.wikipedia.org/wiki/Ser_vivo', 'https://es.wikipedia.org/wiki/Sistema']",OK - short path at /wiki/Sistema (last idx: 4).
