Start,DoS,Path,Msg
/wiki/Friedrich_Markgraf,9,"['https://es.wikipedia.org/wiki/Friedrich_Markgraf', 'https://es.wikipedia.org/wiki/Bot%C3%A1nico', 'https://es.wikipedia.org/wiki/Biolog%C3%ADa', 'https://es.wikipedia.org/wiki/Ciencia_natural', 'https://es.wikipedia.org/wiki/Ciencia', 'https://es.wikipedia.org/wiki/Sistema', 'https://es.wikipedia.org/wiki/Concepto', 'https://es.wikipedia.org/wiki/Entendimiento', 'https://es.wikipedia.org/wiki/Aptitud', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Cho%C4%8Da,15,"['https://es.wikipedia.org/wiki/Cho%C4%8Da', 'https://es.wikipedia.org/wiki/Distrito_de_Zlat%C3%A9_Moravce', 'https://es.wikipedia.org/wiki/Eslovaquia', 'https://es.wikipedia.org/wiki/Estado_sin_litoral', 'https://es.wikipedia.org/wiki/Mar', 'https://es.wikipedia.org/wiki/Oc%C3%A9ano', 'https://es.wikipedia.org/wiki/Hidr%C3%B3sfera', 'https://es.wikipedia.org/wiki/Ciencias_de_la_Tierra', 'https://es.wikipedia.org/wiki/Geolog%C3%ADa', 'https://es.wikipedia.org/wiki/Ciencias_naturales', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 10).
/wiki/Municipio_de_Olvey,18,"['https://es.wikipedia.org/wiki/Municipio_de_Olvey', 'https://es.wikipedia.org/wiki/Municipio_(Estados_Unidos)', 'https://es.wikipedia.org/wiki/Entidad_de_poblaci%C3%B3n', 'https://es.wikipedia.org/wiki/Espa%C3%B1a', 'https://es.wikipedia.org/wiki/Estado', 'https://es.wikipedia.org/wiki/Instituciones', 'https://es.wikipedia.org/wiki/Relaciones_sociales', 'https://es.wikipedia.org/wiki/Interacci%C3%B3n_social', 'https://es.wikipedia.org/wiki/Conflicto', 'https://es.wikipedia.org/wiki/Poder_(social_y_pol%C3%ADtico)', 'https://es.wikipedia.org/wiki/Ciencias_sociales', 'https://es.wikipedia.org/wiki/Ramas_de_la_ciencia', 'https://es.wikipedia.org/wiki/Ciencias_formales', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 13).
/wiki/Primera_Divisi%C3%B3n_femenina_de_balonmano,18,"['https://es.wikipedia.org/wiki/Primera_Divisi%C3%B3n_femenina_de_balonmano', 'https://es.wikipedia.org/wiki/Divisi%C3%B3n_de_Honor_femenina_de_balonmano', 'https://es.wikipedia.org/wiki/Iberdrola', 'https://es.wikipedia.org/wiki/Espa%C3%B1a']",OK - short path at /wiki/Espa%C3%B1a (last idx: 3).
/wiki/Sauvimont,20,"['https://es.wikipedia.org/wiki/Sauvimont', 'https://es.wikipedia.org/wiki/Comuna_francesa', 'https://es.wikipedia.org/wiki/Colectividad_territorial', 'https://es.wikipedia.org/wiki/Francia', 'https://es.wikipedia.org/wiki/Estado_soberano', 'https://es.wikipedia.org/wiki/Derecho_internacional', 'https://es.wikipedia.org/wiki/Estado']",OK - short path at /wiki/Estado (last idx: 6).
/wiki/Hans_Christian_Gram,9,"['https://es.wikipedia.org/wiki/Hans_Christian_Gram', 'https://es.wikipedia.org/wiki/Bacteriolog%C3%ADa', 'https://es.wikipedia.org/wiki/Biolog%C3%ADa']",OK - short path at /wiki/Biolog%C3%ADa (last idx: 2).
/wiki/Piedad_filial,11,"['https://es.wikipedia.org/wiki/Piedad_filial', 'https://es.wikipedia.org/wiki/Confucianismo', 'https://es.wikipedia.org/wiki/Religi%C3%B3n', 'https://es.wikipedia.org/wiki/Cultura', 'https://es.wikipedia.org/wiki/Polisemia', 'https://es.wikipedia.org/wiki/Ling%C3%BC%C3%ADstica', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 6).
/wiki/Cubelo_(Boqueij%C3%B3n),11,"['https://es.wikipedia.org/wiki/Cubelo_(Boqueij%C3%B3n)', 'https://es.wikipedia.org/wiki/Lugar', 'https://es.wikipedia.org/wiki/Geograf%C3%ADa', 'https://es.wikipedia.org/wiki/Tierra', 'https://es.wikipedia.org/wiki/Planeta', 'https://es.wikipedia.org/wiki/Objeto_astron%C3%B3mico', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 6).
/wiki/Jake_Sanderson,5,"['https://es.wikipedia.org/wiki/Jake_Sanderson', 'https://es.wikipedia.org/wiki/Hockey_sobre_hielo', 'https://es.wikipedia.org/wiki/Deporte', 'https://es.wikipedia.org/wiki/Juego', 'https://es.wikipedia.org/wiki/Actividad', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Antonio_Limi%C3%B1ana_L%C3%B3pez,10,"['https://es.wikipedia.org/wiki/Antonio_Limi%C3%B1ana_L%C3%B3pez', 'https://es.wikipedia.org/wiki/Abogado', 'https://es.wikipedia.org/wiki/Letrado', 'https://es.wikipedia.org/wiki/Polis%C3%A9mico', 'https://es.wikipedia.org/wiki/Ling%C3%BC%C3%ADstica']",OK - short path at /wiki/Ling%C3%BC%C3%ADstica (last idx: 4).
